"No"	"diet"	"weight"
"1"	"Vegetarian"	101.612324596119
"2"	"Vegetarian"	92.0154513087278
"3"	"Vegetarian"	117.734469156604
"4"	"Vegetarian"	68.1379377184875
"5"	"Vegetarian"	84.8998184089627
"6"	"Vegetarian"	129.462591967996
"7"	"Vegetarian"	83.5981140309442
"8"	"Vegetarian"	96.7615858773815
"9"	"Vegetarian"	96.1265959803587
"10"	"Vegetarian"	107.624662844635
"11"	"Vegetarian"	84.1350291854495
"12"	"Vegetarian"	101.50148635886
"13"	"Vegetarian"	56.9311041839393
"14"	"Vegetarian"	71.9467170300204
"15"	"Vegetarian"	84.4720959185648
"16"	"Vegetarian"	74.3894123184144
"17"	"Vegetarian"	86.6856960981557
"18"	"Vegetarian"	57.394380456761
"19"	"Vegetarian"	91.3819391755959
"20"	"Vegetarian"	75.8626540328516
"21"	"Vegetarian"	76.3113081233412
"22"	"Vegetarian"	81.0296233546409
"23"	"Vegetarian"	74.4669466687259
"24"	"Vegetarian"	57.2297262326128
"25"	"Vegetarian"	92.4207768758563
"26"	"Vegetarian"	83.7058425447506
"27"	"Vegetarian"	37.2908048083737
"28"	"Vegetarian"	100.023668416359
"29"	"Vegetarian"	72.8557056800697
"30"	"Vegetarian"	86.2552155710086
"31"	"Vegetarian"	87.713041866406
"32"	"Vegetarian"	67.4163646466837
"33"	"Vegetarian"	60.5036145786083
"34"	"Vegetarian"	106.444046619579
"35"	"Vegetarian"	112.347774282905
"36"	"Vegetarian"	92.3364959121507
"37"	"Vegetarian"	85.8166121159746
"38"	"Vegetarian"	85.3717024458455
"39"	"Vegetarian"	88.0370136064687
"40"	"Vegetarian"	79.1686584058175
"41"	"Vegetarian"	99.1313362920352
"42"	"Vegetarian"	93.776468361985
"43"	"Vegetarian"	74.3144734039255
"44"	"Vegetarian"	85.1700133422362
"45"	"Vegetarian"	83.8665835886449
"46"	"Vegetarian"	84.2951388163604
"47"	"Vegetarian"	98.8281033416846
"48"	"Vegetarian"	75.5256030843761
"49"	"Vegetarian"	92.7114740139121
"50"	"Vegetarian"	85.9266917139953
"51"	"Vegetarian"	82.7748086404237
"52"	"Vegetarian"	98.110435833754
"53"	"Vegetarian"	85.3927423758589
"54"	"Vegetarian"	66.7478404554815
"55"	"Vegetarian"	63.9159970040644
"56"	"Vegetarian"	78.1279617274898
"57"	"Vegetarian"	72.482379513371
"58"	"Vegetarian"	64.585886468337
"59"	"Vegetarian"	73.3565201134474
"60"	"Vegetarian"	55.7226660777967
"61"	"Vegetarian"	76.9790807609764
"62"	"Vegetarian"	77.7703194327641
"63"	"Vegetarian"	78.8605831870308
"64"	"Vegetarian"	82.9508482425248
"65"	"Vegetarian"	88.772230704228
"66"	"Vegetarian"	76.2526128205433
"67"	"Vegetarian"	87.8075555146175
"68"	"Vegetarian"	68.9141069827411
"69"	"Vegetarian"	93.3798627376511
"70"	"Vegetarian"	84.6173019430862
"71"	"Vegetarian"	81.6509373418692
"72"	"Vegetarian"	73.0698678223019
"73"	"Vegetarian"	108.95222211191
"74"	"Vegetarian"	89.1260481331503
"75"	"Vegetarian"	87.0260311347799
"76"	"Vegetarian"	44.2373304769207
"77"	"Vegetarian"	53.6571443936446
"78"	"Vegetarian"	82.3742970926903
"79"	"Vegetarian"	96.8183133172111
"80"	"Vegetarian"	82.8763125506342
"81"	"Vegetarian"	68.2038200485862
